
=== Section 0x000: Main Code (1290 symbols) ===
  80000450  amSetMuteMode
  80000510  amTunePlay
  800005BC  amTuneVoiceLimit
  800005F8  amTuneSetFade
  80000724  amTuneSetFadeScaled
  80000798  amTuneResetFade
  800007A4  amAmbientSetFade
  800008D0  amAmbientResetFade
  800008DC  amAudioTick
  80000B80  amWaitForMidiSync
  80000C00  amResetMidiSync
  80000C0C  amTuneSetChlMask
  80000CAC  amTuneMuteChl
  80000CB4  amTuneUnmuteChl
  80000CBC  amTuneSetChlVolume
  80000CFC  amTuneResetChls
  80000D60  amTuneScaleTempo
  80000DD8  amTuneSetTempoBPM
  80000E5C  amTuneGetTempoBPM
  80000E6C  amAmbientPlay
  80000EBC  amAmbientSetTempoBPM
  80000F2C  amTuneStop
  80000F60  amAmbientStop
  80000F98  amTuneGetSeqNo
  80000FD4  amAmbientGetSeqNo
  80000FE4  amTuneSetVolume
  80001050  amTuneSetGlobalVolume
  800010AC  amTuneGetVolume
  800010BC  amAmbientSetVolume
  80001108  amAmbientSetPan
  80001170  amDittyPlay
  800011D4  amDittyPlaying
  80001228  amSndStop
  80001248  amSndPlay
  8000134C  amSndPlayDirect
  800013FC  amSndSetVol
  800014D8  amSndSetPan
  80001500  amSndSetPitchDirect
  8000152C  amGetSfxCount
  80001554  amGetSfxSettings
  80001598  amSoundIsLooped
  80001990  amTuneSetReverbOnOff
  80001998  forcelink
  800019C8  scalevol
  80001A10  amCreateAudioMgr
  80001EA0  amGo
  80001EC4  amStop
  80001EE8  amAudioMgrGetNextFrameCount
  800027D8  amAudioMgrSetScheduleMode
  800027FC  amAudioMgrHaveRunALargeFrame
  8000280C  amAudioMgrHaveFreedLargeBuffers
  80002830  amInitAudioMap
  80002910  amAmbientPause
  80002938  amAmbientRestart
  80002944  amResetAudioMap
  80002AB8  amPlayAudioMap
  800032B4  amCalcSfxStereo
  80003410  amSndPlayXYZ
  800034C4  amSndSetVolXYZ
  800034DC  amSndSetPitchXYZ
  800034F4  amSndPlayDirectXYZ
  800035E8  amSndSetXYZ
  80003614  amSndStopXYZ
  80003680  amSndUnlinkHandleXYZ
  800036C8  amCreateAudioPoint
  800037F8  amSndSetEcho
  80003CA4  amSndGetXYZVolume
  80003DB0  amVibratoInit
  80003E40  amInitOsc
  80004164  amUpdateOsc
  8000474C  amStopOsc
  80004768  _depth2Cents
  800047C0  resetVars
  80004838  objFreeAll
  80004954  objGetClosestControlType
  80004AF4  objGetClosestClass
  80004C64  objSetObjRegionOverflow
  80004C74  objGetObjdef
  80004F04  objFreeObjdef
  80005064  objTvTimes
  800053F8  objLoadObjList
  8000561C  objSetupPlayers
  80005CB0  objDeleteRomDef
  80005E58  objGetObject
  80005E98  objGetObjList
  80005EC0  objGetControlNo
  80005F14  objSetupObject
  800079B8  objFreeObject
  80007A54  objDoFrees
  80008FE8  objObjectsPauseTick
  80008FF0  objObjectsTick
  800095A4  objObjectsCutCameraTick
  80009734  objAnimTextures
  80009928  objResetAnimModels
  800099F4  objMoveXYZnocheck
  80009A04  objMoveXYZ
  80009E58  objPrintShardCluster
  80009FB4  objPrintSeveredLimb
  8000A154  objDrawSimpleObject
  8000A300  objDrawTracer
  8000AA34  objPrintCustomObject
  8000B300  objDrawDoor
  8000BC28  objMakeGunMtx
  8000C6E0  objDrawPlayerEffects
  8000C9B4  objSetFlashPartColour
  8000C9E8  objClearFlashes
  8000CC64  objPrintModelObject
  8000DB94  objPrintObject
  8000DC28  objDoPlayerTumble
  8000DD14  objUndoPlayerTumble
  8000DF00  objScrollTexture
  8000E108  objPartInv
  8000E278  objZsortGroup
  8000E464  objGetPlayerlist
  8000E480  objAddAnimPlayer
  8000E4B4  objGetAnimPlayerlist
  8000E4D0  objGetPlayerNo
  8000E520  setObjectViewNormal
  8000E624  objGetTable
  8000E674  objSetAnimGroup
  8000F028  objSetup
  8001138C  objAnimDframe
  8001149C  objAnimSetMove
  800116BC  objAnimSetFrame
  80011708  objCreateBonusItem
  800118F4  GetRomlistInfo
  8001191C  objRegisterDependancy
  80011974  objRemoveDependancy
  80011C2C  objCutCameraActive
  80011C84  GetRange
  80011CE0  GetRangeSquared
  80011D1C  objAddMine
  80011DEC  objDeleteMine
  80012150  trackUpdateFX
  800121C0  trackDraw
  80012B04  initSky
  80012BA0  trackSkySet
  80013810  trackGetSky
  80013924  trackAddTextureScroll
  80013970  trackUpdateTextureScroll
  80013B74  trackLightAllocate
  80013D3C  trackLightFreeMem
  80013E0C  trackLightAdd
  80013F08  trackLightDelete
  80013F48  trackLightColour
  80013FE0  trackLightMove
  8001417C  trackUpdateLighting
  80015510  trackGetBlock
  8001563C  trackGetBlockList
  80015714  trackGetCubeBlockList
  8001587C  trackBlockDim
  80016208  trackGetIntersect
  800163FC  trackGetPlayerIntersect
  80018024  trackCylinderIntersect
  800183D4  trackSphereIntersect
  80018808  trackNearestIntersection
  800191D8  trackClip3D
  800195E8  trackPolyHeight
  80019888  trackGetLedgeCrossed
  80019E0C  trackGetAdjacentLedge
  8001A218  trackCylinderHeights
  8001ACE0  trackGetNearestPoly
  8001B078  trackGetHeights
  8001B650  trackGetTrack
  8001B660  trackFreeAll
  8001B868  trackMakeAbsolute
  8001BB30  trackSetFog
  8001BC2C  trackGetFog
  8001BD90  trackSetFogOff
  8001C0D8  trackChangeFog
  8001C3D0  trackFadeFog
  8001CE10  trackMakePolylist
  8001D344  getXZCompareMask
  8001D464  getYCompareMask
  8001D500  trackLightAsm
  8001D800  shadowInitBuffers
  8001D938  shadowFreeBuffers
  8001D9B4  shadowChangeBuffer
  8001D9D0  shadowGetBuffers
  8001DA1C  shadowGenerate
  80020890  shadowBoxPolyOverlap
  80020954  shadowBoundingBox
  800209E4  shadowYHeight
  80020AF8  shadowMakeYs
  80020BC0  freeLights
  80020C50  setupLights
  80020E3C  addRomdefLight
  800210A4  addObjectLight
  800212D0  turnLightOff
